Date,trading_days,UPPER_BAND,LOWER_BAND,Asset_price,Cost_Basis,Stocks,BUY_Signal,SELL_Signal,starting_cash,ending_cash
2010-05-24,98,9.507128667728399,8.439271332271602,8.813,0.0,0.0,False,False,10000.0,10000.0
2010-05-25,99,9.464660555973165,8.401139444026835,8.758000000000001,0.0,0.0,False,False,10000.0,10000.0
2010-05-26,100,9.320256370296729,8.417143629703272,8.718,0.0,0.0,False,False,10000.0,10000.0
2010-05-27,101,9.250437391199128,8.451162608800871,9.048,0.0,0.0,False,False,10000.0,10000.0
2010-05-28,102,9.292067336637487,8.431332663362511,9.174,0.0,0.0,False,False,10000.0,10000.0
2010-06-01,103,9.388369732299168,8.382230267700834,9.315,0.0,0.0,False,False,10000.0,10000.0
2010-06-02,104,9.533850027221902,8.319549972778098,9.427,0.0,0.0,False,False,10000.0,10000.0
2010-06-03,105,9.652600454777904,8.306399545222096,9.397,0.0,0.0,False,False,10000.0,10000.0
2010-06-04,106,9.62744062971951,8.461559370280492,9.141,0.0,0.0,False,False,10000.0,10000.0
2010-06-07,107,9.595737465557155,8.554862534442846,8.962,0.0,0.0,False,False,10000.0,10000.0
2010-06-08,108,9.587282701019483,8.581717298980521,8.905,0.0,0.0,False,False,10000.0,10000.0
2010-06-09,109,9.602428598006663,8.552171401993336,8.686,0.0,0.0,False,False,10000.0,10000.0
2010-06-10,110,9.573062488820307,8.627337511179695,8.947000000000001,0.0,0.0,False,False,10000.0,10000.0
2010-06-11,111,9.57338325545171,8.628216744548293,9.054,0.0,0.0,False,False,10000.0,10000.0
2010-06-14,112,9.561333303772022,8.621666696227978,9.081,0.0,0.0,False,False,10000.0,10000.0
2010-06-15,113,9.549492063423896,8.625507936576108,9.275,0.0,0.0,False,False,10000.0,10000.0
2010-06-16,114,9.603894931053064,8.594705068946938,9.545,0.0,0.0,False,False,10000.0,10000.0
2010-06-17,115,9.744302207915208,8.516897792084794,9.71,0.0,0.0,False,False,10000.0,10000.0
2010-06-18,116,9.936957033645307,8.453642966354693,9.788,0.0,0.0,False,False,10000.0,10000.0
2010-06-21,117,10.036252693243748,8.49174730675625,9.649000000000001,0.0,0.0,False,False,10000.0,10000.0
2010-06-22,118,10.141058104258324,8.561941895741676,9.78,0.0,0.0,False,False,10000.0,10000.0
2010-06-23,119,10.106346021295169,8.79485397870483,9.677,0.0,0.0,False,False,10000.0,10000.0
2010-06-24,120,10.0722955201467,8.960904479853301,9.607,0.0,0.0,False,False,10000.0,10000.0
